기업명,신규상장일,공모가(원),시초가(원),시초/공모(%),첫날종가(원)
플레이디,2020/03/12,"8,500","11,250",32.35%,"8,800"
에스케이스팩6호,2020/03/11,"2,000","2,025",1.25%,"2,010"
서울바이오시스,2020/03/06,"7,500","13,000",73.33%,"11,100"
제이앤티씨,2020/03/04,"11,000","10,200",-7.27%,"10,350"
켄코아에어로스페이스,2020/03/03,"10,000","11,500",15%,"10,250"
레몬,2020/02/28,"7,200","8,620",19.72%,"10,400"
서남,2020/02/20,"3,100","3,900",25.81%,"4,750"
신영스팩6호,2020/02/12,"2,000","2,000",0%,"2,010"
위세아이텍,2020/02/10,"12,000","13,900",15.83%,"12,400"
하나금융스팩15호,2020/01/30,"2,000","2,000",0%,"2,000"
케이비스팩20호,2020/01/30,"2,000","2,000",0%,"2,000"
한화플러스스팩1호,2019/12/27,"2,000","2,005",0.25%,"2,000"
피피아이,2019/12/26,"7,000","11,000",57.14%,"9,630"
천랩,2019/12/26,"40,000","42,950",7.38%,"38,500"
엔에이치스팩15호,2019/12/24,"2,000","2,000",0%,"2,000"
메탈라이프,2019/12/24,"13,000","26,000",100%,"33,800"
하이스팩5호,2019/12/23,"2,000","2,000",0%,"2,005"
브릿지바이오테라퓨틱스,2019/12/20,"60,000","62,400",4%,"54,300"
메드팩토,2019/12/19,"40,000","40,000",0%,"35,900"
대신밸런스스팩8호,2019/12/19,"2,000","2,005",0.25%,"2,005"
유안타스팩6호,2019/12/19,"2,000","2,005",0.25%,"2,000"
신테카바이오,2019/12/17,"12,000","14,950",24.58%,"16,700"
제이엘케이인스펙션,2019/12/11,"9,000","8,500",-5.56%,"9,000"
태웅로직스,2019/12/10,"4,500","8,170",81.56%,"6,110"
IBKS스팩12호,2019/12/09,"2,000","2,040",2%,"2,050"
리메드,2019/12/06,"13,000","14,100",8.46%,"13,450"
에스케이스팩5호,2019/12/05,"2,000","2,010",0.5%,"2,010"
엔에이치프라임리츠(유가),2019/12/05,"5,000","5,000",0%,"6,500"
IBKS스팩11호,2019/12/03,"2,000","2,005",0.25%,"2,010"
코리아센터,2019/11/29,"18,000","23,000",27.78%,"22,850"
유안타스팩5호,2019/11/28,"2,000","2,145",7.25%,"2,010"
노터스,2019/11/27,"20,000","29,750",48.75%,"36,500"
센트랄모텍(유가),2019/11/25,"6,000","7,650",27.5%,"9,940"
티움바이오,2019/11/22,"12,000","11,800",-1.67%,"13,450"
씨에스베어링,2019/11/21,"8,400","8,400",0%,"8,950"
코리아에셋투자증권,2019/11/20,"10,000","9,900",-1%,"8,290"
우양,2019/11/20,"4,200","6,060",44.29%,"4,785"
현대에너지솔루션(유가),2019/11/19,"18,000","18,200",1.11%,"17,300"
에스제이그룹,2019/11/18,"38,600","43,500",12.69%,"46,400"
제테마,2019/11/14,"21,000","20,100",-4.29%,"22,450"
한화시스템(유가),2019/11/13,"12,250","11,600",-5.31%,"11,100"
라파스,2019/11/11,"20,000","19,950",-0.25%,"18,050"
