,company,listing_data,offering_price,starting_price,label,closing_price,stock_market,company_size,sales,profit_before_tax,income,capital,offering_number,par_value,old_sales_ratio,general_competition_rate,offering_price_total,subscription_limit,offering_date,ownership_ratio,institutional_ratio,subscription_margin_rate,institutional_competition_rate,obligatory,desired_offering_price_min,desired_offering_price_max,desired_offering_price,manager,manager_rank,topic,topic_per,each_topic_per
205,와이더플래닛,2021-02-03,16000,24900,0,20000,코스닥,중소일반,34760,-1452,-1452,3381,1000000,500,0.0,1357.98,16000,18000,2021-01-26,5.0,75.0,50%,1449.22,9.59,12000,15000,2,한국,2.0,3,0.886,"[(0, 0.034188733), (1, 0.027420066), (2, 0.023148708), (3, 0.8859616), (4, 0.029280895)]"
206,레인보우로보틱스,2021-02-03,10000,20000,1,26000,코스닥,중소일반,1694,-5361,-5497,7922,2650000,500,0.0,1201.26,26500,13000,2021-01-26,10.0,70.0,50%,1489.9,19.9,7000,9000,2,미래에셋,1.0,4,0.8827,"[(0, 0.034188744), (1, 0.027420077), (2, 0.02314865), (3, 0.032529972), (4, 0.88271254)]"
207,솔루엠,2021-02-02,17000,34000,1,29150,거래소,중소일반,913607,40260,38483,23166,6400000,500,0.0,1147.76,108800,0,2021-01-22,20.0,80.0,50%,1167.55,20.79,13700,15500,2,미래에셋,1.0,0,0.4453,"[(0, 0.44530913), (1, 0.43595248), (2, 0.032352686), (3, 0.045463268), (4, 0.040922433)]"
208,핑거,2021-01-29,16000,32000,1,29100,코스닥,중소일반,60015,3775,3174,4419,1300000,500,23.08,939.39,20800,13000,2021-01-22,20.0,60.0,50%,1453.12,12.64,13000,15000,2,대신,9.0,3,0.886,"[(0, 0.034188733), (1, 0.027420066), (2, 0.02314871), (3, 0.8859616), (4, 0.029280895)]"
209,씨앤투스성진,2021-01-28,32000,31700,0,28700,코스닥,중소일반,47481,-684,-430,4732,1600000,500,0.0,674.04,51200,16000,2021-01-20,0.0,80.0,50%,1010.02,1.7,26000,32000,1,미래에셋,1.0,0,0.8876,"[(0, 0.8876185), (1, 0.027420528), (2, 0.023148838), (3, 0.032530103), (4, 0.029282056)]"
210,모비릭스,2021-01-28,14000,28000,1,36400,코스닥,중소일반,40340,7572,6189,927,1800000,100,0.0,1485.51,25200,9000,2021-01-20,5.72,74.3,50%,1407.53,5.73,10500,14000,1,한국,2.0,3,0.886,"[(0, 0.034188736), (1, 0.027420068), (2, 0.023148714), (3, 0.8859616), (4, 0.029280897)]"
211,선진뷰티사이언스,2021-01-27,11500,23000,1,29900,코스닥,중소일반,47403,44,4333,3057,1835000,500,33.24,1987.74,21103,22000,2021-01-19,10.0,70.0,50%,1431.0,17.83,10100,11500,1,삼성,3.0,0,0.8876,"[(0, 0.88761884), (1, 0.027420435), (2, 0.023148762), (3, 0.032529984), (4, 0.029281953)]"
212,엔비티,2021-01-21,19000,38000,1,36500,코스닥,중소일반,45058,672,744,831,832000,100,0.0,4397.67,15808,8300,2021-01-13,10.0,70.0,50%,1425.3,10.7,13200,17600,2,미래에셋,1.0,3,0.7354,"[(0, 0.07931701), (1, 0.06361377), (2, 0.05370417), (3, 0.7354342), (4, 0.06793085)]"
213,지놈앤컴퍼니,2020-12-23,40000,80000,1,68800,코스닥,중소일반,46,-84669,-84669,6930,2000000,500,9.69,1175.1,80000,13000,2020-12-15,7.5,72.5,50%,1163.49,9.08,36000,40000,1,한국,2.0,3,0.9273,"[(0, 0.02179818), (1, 0.0174767), (2, 0.014754349), (3, 0.927308), (4, 0.018662734)]"
214,석경에이티,2020-12-23,10000,20000,1,26000,코스닥,중소일반,6403,1328,1111,2727,1000000,500,0.0,1751.58,10000,6000,2020-12-16,0.0,80.0,50%,1390.29,6.68,8000,10000,1,한국,2.0,2,0.8275,"[(0, 0.04778175), (1, 0.038321927), (2, 0.8274795), (3, 0.045494206), (4, 0.0409226)]"
215,프리시젼바이오,2020-12-22,12500,25000,1,32500,코스닥,중소일반,2409,-706,-706,5621,1500000,500,0.0,1557.29,18750,9000,2020-12-15,0.0,80.0,50%,1231.23,1.62,10500,12500,1,한국,2.0,0,0.8429,"[(0, 0.84294015), (1, 0.038321804), (2, 0.032352366), (3, 0.045463294), (4, 0.040922422)]"
216,알체라,2020-12-21,10000,20000,1,26000,코스닥,중소일반,3291,-11416,-11416,6684,2000000,500,0.0,1322.58,20000,12000,2020-12-11,5.0,75.0,50%,1315.61,3.88,8000,10000,1,NH,4.0,3,0.886,"[(0, 0.034188733), (1, 0.027420066), (2, 0.02314871), (3, 0.8859616), (4, 0.029280895)]"
