,offering_price,stock_market,company_size,sales,profit_before_tax,income,capital,offering_number,par_value,old_sales_ratio,general_competition_rate,offering_price_total,subscription_limit,ownership_ratio,institutional_ratio,subscription_margin_rate,institutional_competition_rate,obligatory,desired_offering_price,manager_rank,topic,label
836,32000,0,2,205150,14930,11614,2000,2940000,200,0.0,771.08,94080,24500,20.0,60.0,1,441.86,55.2,2,1.0,1,1
837,11000,1,2,39376,3086,2685,4134,1800000,500,0.0,2498.8,19800,14000,5.0,75.0,1,1631.0,18.29,2,5.0,3,1
838,10000,1,2,3120,-1540,-1597,3400,680741,500,0.0,799.09,6807,5440,20.0,60.0,1,564.87,21.72,1,4.0,0,1
839,15900,1,2,51732,11023,8661,1550,1600000,200,37.85,1082.03,25440,6400,20.0,60.0,1,1033.41,17.36,1,3.0,3,1
840,35000,1,2,14648,-9174,-9174,2351,730000,500,27.69,1731.23,25550,6000,0.0,75.0,1,1503.91,10.98,1,2.0,3,1
841,7000,1,2,21083,3892,3479,6018,1626190,500,39.22,1353.9,11383,9500,10.0,70.0,1,1327.98,7.6,2,3.0,2,1
842,11000,1,2,14489,640,633,2209,1105000,500,0.0,2392.84,12155,0,6.7,68.3,1,1762.39,15.27,2,1.0,1,1
843,9000,1,2,66136,6958,5528,5453,3243000,500,622.9,2036.0,29187,0,4.6,75.4,1,1296.86,0.0,2,1.0,3,1
844,13000,1,2,27044,4859,4521,9577,2050000,500,0.0,1637.43,26650,17000,0.0,75.0,1,1723.21,25.64,1,2.0,4,1
845,20000,1,2,24192,-1761,-2088,4454,1600000,500,20.0,1408.33,32000,13300,20.0,75.0,1,1638.36,36.8,1,12.0,0,1
846,25000,1,2,61174,23462,17658,9874,3000000,500,0.0,1159.05,75000,30000,12.2,62.8,1,1511.36,42.54,1,4.0,4,1
847,13000,1,2,27044,4859,4521,9577,2050000,500,0.0,1637.43,26650,17000,0.0,75.0,1,1723.21,25.64,1,2.0,4,1
848,8000,1,2,19421,6609,5340,2487,1250000,500,0.0,479.79,10000,25000,5.0,75.0,1,60.5,0.2,0,7.0,0,1
